Date,City,Weather Condition,Temperature,Wind Force and Direction
2011-10-02,beijing,晴/晴,21℃/7℃,无持续风向≤3级/无持续风向≤3级
2011-10-03,beijing,晴/晴,21℃/8℃,无持续风向微风/无持续风向微风
2011-10-04,beijing,多云/多云,21℃/12℃,无持续风向≤3级/无持续风向≤3级
2011-10-05,beijing,晴/晴,25℃/10℃,无持续风向≤3级/无持续风向≤3级
2011-10-06,beijing,晴/晴,24℃/10℃,无持续风向≤3级/无持续风向≤3级
2011-10-07,beijing,晴/晴,25℃/11℃,无持续风向≤3级/无持续风向≤3级
2011-10-08,beijing,多云/多云,24℃/15℃,无持续风向≤3级/无持续风向≤3级
2011-10-09,beijing,多云/雾,23℃/15℃,无持续风向≤3级/无持续风向≤3级
2011-10-10,beijing,晴/多云,22℃/13℃,无持续风向≤3级/无持续风向≤3级
2011-10-11,beijing,多云/多云,21℃/14℃,无持续风向≤3级/无持续风向≤3级
2011-10-12,beijing,阴/小到中雨,20℃/14℃,无持续风向≤3级/无持续风向≤3级
2011-10-13,beijing,阵雨/多云,20℃/11℃,无持续风向≤3级/无持续风向≤3级
2011-10-14,beijing,多云/多云,19℃/10℃,北风3-4级/北风3-4级
2011-10-15,beijing,晴/晴,20℃/10℃,北风4-5级/北风3-4级
2011-10-16,beijing,晴/晴,22℃/7℃,无持续风向≤3级/无持续风向≤3级
2011-10-17,beijing,晴/晴,20℃/8℃,无持续风向≤3级/无持续风向≤3级
2011-10-18,beijing,晴/晴,21℃/10℃,无持续风向≤3级/无持续风向≤3级
2011-10-19,beijing,多云/多云,19℃/12℃,无持续风向≤3级/无持续风向≤3级
2011-10-20,beijing,雾/雾,20℃/12℃,无持续风向≤3级/无持续风向≤3级
2011-10-21,beijing,雾/雾,17℃/11℃,无持续风向≤3级/无持续风向≤3级
2011-10-22,beijing,晴/阵雨,20℃/13℃,无持续风向≤3级/无持续风向≤3级
2011-10-23,beijing,阵雨/多云,16℃/5℃,北风4-5级/北风4-5级
2011-10-24,beijing,晴/晴,15℃/2℃,北风3-4级/无持续风向≤3级
2011-10-25,beijing,晴/多云,16℃/4℃,无持续风向≤3级/无持续风向≤3级
2011-10-26,beijing,小雨/阴,13℃/5℃,无持续风向≤3级/无持续风向≤3级
2011-10-27,beijing,晴/晴,16℃/5℃,无持续风向≤3级/无持续风向≤3级
2011-10-28,beijing,晴/多云,16℃/6℃,无持续风向≤3级/无持续风向≤3级
2011-10-29,beijing,晴/雾,18℃/6℃,无持续风向≤3级/无持续风向≤3级
2011-10-30,beijing,多云/雾,17℃/7℃,无持续风向≤3级/无持续风向≤3级
2011-10-31,beijing,多云/小雨,15℃/10℃,无持续风向≤3级/无持续风向≤3级
2011-11-01,beijing,小雨/阴,15℃/8℃,无持续风向≤3级/无持续风向≤3级
2011-11-02,beijing,晴/阴,16℃/9℃,无持续风向≤3级/无持续风向≤3级
2011-11-03,beijing,阴/小雨,14℃/9℃,无持续风向≤3级/无持续风向≤3级
2011-11-04,beijing,小雨/多云,14℃/9℃,无持续风向≤3级/无持续风向≤3级
2011-11-05,beijing,多云/阴,16℃/9℃,无持续风向≤3级/无持续风向≤3级
2011-11-06,beijing,多云/多云,15℃/7℃,无持续风向≤3级/无持续风向≤3级
2011-11-07,beijing,多云/阴,13℃/8℃,无持续风向≤3级/无持续风向≤3级
2011-11-08,beijing,阴/晴,13℃/3℃,无持续风向≤3级/无持续风向≤3级
2011-11-09,beijing,晴/晴,14℃/3℃,无持续风向≤3级/无持续风向≤3级
2011-11-10,beijing,晴/晴,16℃/3℃,无持续风向≤3级/无持续风向≤3级
2011-11-11,beijing,多云/阴,14℃/7℃,无持续风向≤3级/无持续风向≤3级
2011-11-12,beijing,晴/晴,15℃/2℃,北风3-4级/北风3-4级
2011-11-13,beijing,晴/晴,12℃/0℃,无持续风向≤3级/无持续风向≤3级
2011-11-14,beijing,晴/晴,13℃/1℃,无持续风向≤3级/无持续风向≤3级
2011-11-15,beijing,晴/雾,12℃/3℃,无持续风向≤3级/无持续风向≤3级
2011-11-16,beijing,阴/小雨,10℃/6℃,无持续风向≤3级/无持续风向≤3级
2011-11-17,beijing,小雨/多云,8℃/3℃,无持续风向≤3级/无持续风向≤3级
2011-11-18,beijing,多云/阴,12℃/3℃,无持续风向≤3级/北风3-4级
2011-11-19,beijing,晴/晴,9℃/-3℃,北风3-4级/无持续风向≤3级
2011-11-20,beijing,晴/晴,9℃/-3℃,无持续风向≤3级/无持续风向≤3级
2011-11-21,beijing,晴/阴,9℃/1℃,无持续风向≤3级/无持续风向≤3级
2011-11-22,beijing,阴/晴,10℃/-2℃,北风4-5级/北风4-5级
2011-11-23,beijing,晴/晴,7℃/-5℃,无持续风向≤3级/无持续风向≤3级
2011-11-24,beijing,晴/多云,8℃/-3℃,无持续风向≤3级/无持续风向≤3级
2011-11-25,beijing,晴/多云,6℃/0℃,无持续风向≤3级/无持续风向≤3级
2011-11-26,beijing,多云/多云,9℃/-1℃,无持续风向≤3级/无持续风向≤3级
2011-11-27,beijing,晴/多云,7℃/0℃,无持续风向≤3级/无持续风向≤3级
2011-11-28,beijing,阴/阴,5℃/0℃,无持续风向≤3级/无持续风向≤3级
2011-11-29,beijing,阴/阴,4℃/-3℃,无持续风向≤3级/无持续风向≤3级
2011-11-30,beijing,晴/晴,5℃/-5℃,无持续风向≤3级/无持续风向≤3级
2011-12-01,beijing,晴/阴,4℃/-2℃,无持续风向≤3级/无持续风向≤3级
2011-12-02,beijing,阴/阴,4℃/-4℃,无持续风向≤3级/无持续风向≤3级
2011-12-03,beijing,雾/晴,4℃/-5℃,无持续风向≤3级/无持续风向≤3级
2011-12-04,beijing,晴/雾,5℃/-3℃,无持续风向≤3级/无持续风向≤3级
2011-12-05,beijing,小雪/小雪,2℃/-2℃,无持续风向≤3级/无持续风向≤3级
2011-12-06,beijing,雨夹雪/小雪,1℃/-1℃,无持续风向≤3级/北风3-4级
2011-12-07,beijing,阴/晴,4℃/-6℃,北风3-4级/北风3-4级
2011-12-08,beijing,晴/晴,0℃/-8℃,北风3-4级/无持续风向≤3级
2011-12-09,beijing,晴/晴,1℃/-5℃,无持续风向≤3级/北风3-4级
2011-12-10,beijing,晴/晴,5℃/-5℃,北风3-4级/无持续风向≤3级
2011-12-11,beijing,晴/晴,7℃/-4℃,无持续风向≤3级/无持续风向≤3级
2011-12-12,beijing,晴/多云,7℃/-3℃,无持续风向≤3级/无持续风向≤3级
2011-12-13,beijing,多云/晴,5℃/-4℃,无持续风向≤3级/北风3-4级
2011-12-14,beijing,晴/晴,2℃/-6℃,北风4-5级/北风3-4级
2011-12-15,beijing,晴/晴,0℃/-8℃,北风4-5级/北风4-5级
2011-12-16,beijing,晴/晴,1℃/-8℃,无持续风向≤3级/无持续风向≤3级
2011-12-17,beijing,晴/晴,3℃/-9℃,无持续风向≤3级/无持续风向≤3级
2011-12-18,beijing,晴/多云,2℃/-7℃,无持续风向≤3级/无持续风向≤3级
2011-12-19,beijing,多云/多云,2℃/-5℃,无持续风向≤3级/无持续风向≤3级
2011-12-20,beijing,晴/多云,2℃/-4℃,无持续风向≤3级/北风3-4级
2011-12-21,beijing,晴/晴,2℃/-6℃,北风4-5级/北风3-4级
2011-12-22,beijing,晴/晴,2℃/-7℃,无持续风向≤3级/无持续风向≤3级
2011-12-23,beijing,晴/晴,3℃/-5℃,无持续风向≤3级/无持续风向≤3级
2011-12-24,beijing,晴/晴,3℃/-6℃,无持续风向≤3级/无持续风向≤3级
2011-12-25,beijing,晴/晴,4℃/-7℃,无持续风向≤3级/无持续风向≤3级
2011-12-26,beijing,晴/多云,2℃/-5℃,无持续风向≤3级/无持续风向≤3级
2011-12-27,beijing,多云/多云,3℃/-5℃,无持续风向≤3级/无持续风向≤3级
2011-12-28,beijing,晴/晴,5℃/-7℃,无持续风向≤3级/无持续风向≤3级
2011-12-29,beijing,小雪/小雪,-2℃/-5℃,无持续风向微风/无持续风向微风
2011-12-30,beijing,阴/阴,1℃/-5℃,无持续风向≤3级/无持续风向≤3级
2011-12-31,beijing,多云/晴,4℃/-7℃,无持续风向≤3级/无持续风向≤3级
2011-01-01,shanghai,晴/多云,4℃/0℃,西北风4-5级/北风4-5级
2011-01-02,shanghai,多云/雨夹雪,6℃/2℃,北风4-5级/北风4-5级
2011-01-03,shanghai,多云/晴,12℃/4℃,南风≤3级/南风≤3级
2011-01-04,shanghai,雨夹雪/雨夹雪,3℃/-1℃,北风3-4级/北风3-4级
2011-01-05,shanghai,阴/多云,6℃/0℃,北风3-4级/北风4-5级
2011-01-06,shanghai,多云/晴,4℃/-1℃,北风4-5级/北风4-5级
2011-01-07,shanghai,多云/多云,6℃/0℃,北风4-5级/北风3-4级
2011-01-08,shanghai,晴/多云,7℃/1℃,东北风3-4级/东北风3-4级
2011-01-09,shanghai,阴/多云,6℃/0℃,北风4-5级/北风4-5级
2011-01-10,shanghai,晴/多云,3℃/-1℃,北风3-4级/西北风3-4级
2011-01-11,shanghai,多云/多云,4℃/-2℃,西北风4-5级/西北风4-5级
2011-01-12,shanghai,晴/晴,4℃/-1℃,西北风3-4级/北风3-4级
2011-01-13,shanghai,多云/多云,6℃/1℃,东风3-4级/东风3-4级
2011-01-14,shanghai,小雨/小雨,8℃/0℃,东北风4-5级/北风5-6级
2011-01-15,shanghai,晴/晴,8℃/3℃,东北风3-4级/东北风3-4级
2011-01-16,shanghai,多云/多云,2℃/-2℃,北风4-5级/北风4-5级
2011-01-17,shanghai,多云/阴,3℃/-1℃,北风3-4级/北风3-4级
2011-01-18,shanghai,小到中雪/小雪,2℃/0℃,东北风3-4级/北风3-4级
2011-01-19,shanghai,小雪/大雪,4℃/0℃,东北风3-4级/北风3-4级
2011-01-20,shanghai,中到大雪/小雪,2℃/-1℃,东北风3-4级/东北风3-4级
2011-01-21,shanghai,多云/晴,4℃/-1℃,东北风3-4级/北风微风
2011-01-22,shanghai,晴/多云,6℃/2℃,东北风3-4级/北风3-4级
2011-01-23,shanghai,小雨/多云,5℃/0℃,西北风4-5级/西北风4-5级
2011-01-24,shanghai,晴/晴,4℃/-1℃,北风4-5级/北风3-4级
2011-01-25,shanghai,晴/多云,5℃/1℃,北风3-4级/东北风3-4级
2011-01-26,shanghai,阴/阴,7℃/2℃,东北风3-4级/东北风4-5级
2011-01-27,shanghai,晴/晴,8℃/0℃,东北风3-4级/东风3-4级
2011-01-28,shanghai,晴/阴,11℃/4℃,东南风3-4级/东南风3-4级
2011-01-29,shanghai,晴/晴,4℃/-2℃,北风4-5级/西北风3-4级
2011-01-30,shanghai,多云/晴,4℃/-3℃,西北风4-5级/西北风3-4级
2011-01-31,shanghai,晴/晴,19℃/12℃,东南风3-4级/南风4-5级
2011-02-01,shanghai,小雨/小雨,7℃/4℃,东北风≤3级/东北风≤3级
2011-02-02,shanghai,小雨/多云,9℃/5℃,东北风3-4级/东风3-4级
2011-02-03,shanghai,晴/多云,7℃/2℃,北风≤3级/北风≤3级
2011-02-04,shanghai,多云/多云,9℃/2℃,西北风≤3级/西北风≤3级
2011-02-05,shanghai,小雨/中雨,8℃/6℃,东风4-5级/东风4-5级
2011-02-06,shanghai,阴/小雨,7℃/0℃,东北风3-4级/北风3-4级
2011-02-07,shanghai,小雨/小雨,7℃/3℃,北风4-5级/北风4-5级
2011-02-08,shanghai,小雪/小雪,2℃/-2℃,东北风3-4级/北风3-4级
2011-02-09,shanghai,多云/阴,5℃/2℃,北风3-4级/东北风3-4级
2011-02-10,shanghai,晴/多云,8℃/1℃,西北风3-4级/东北风3-4级
2011-02-11,shanghai,多云/多云,6℃/-1℃,北风4-5级/北风4-5级
2011-02-12,shanghai,多云/阴,5℃/0℃,北风4-5级/东北风3-4级
2011-02-13,shanghai,多云/小雨,9℃/3℃,东南风3-4级/东南风3-4级
2011-02-14,shanghai,多云/小雨,17℃/12℃,东南风≤3级/南风≤3级
2011-02-15,shanghai,晴/晴,6℃/0℃,西北风≤3级/西北风≤3级
2011-02-16,shanghai,多云/多云,17℃/6℃,西北风≤3级/西北风≤3级
2011-02-17,shanghai,小雨/小雨,9℃/5℃,东北风3-4级/东北风4-5级
2011-02-18,shanghai,中雨/中雨,7℃/0℃,北风4-5级/东北风4-5级
2011-02-19,shanghai,阴/阴,8℃/3℃,北风3-4级/东北风3-4级
2011-02-20,shanghai,多云/多云,11℃/3℃,东北风3-4级/东北风3-4级
2011-02-21,shanghai,晴/晴,12℃/5℃,北风3-4级/东北风3-4级
2011-02-22,shanghai,晴/多云,13℃/7℃,东风3-4级/东风3-4级
2011-02-23,shanghai,晴/晴,16℃/8℃,东南风3-4级/东风3-4级
2011-02-24,shanghai,晴/多云,18℃/9℃,东南风3-4级/东风3-4级
2011-02-25,shanghai,多云/多云,13℃/8℃,东北风4-5级/东南风4-5级
2011-02-26,shanghai,小雨/小雨,15℃/11℃,东南风3-4级/东南风3-4级
2011-02-27,shanghai,小雨/阵雨,20℃/5℃,西南风4-5级/北风4-5级
2011-02-28,shanghai,小雨/小雨,7℃/3℃,北风4-5级/北风4-5级
2011-03-01,shanghai,阴/多云,6℃/0℃,北风4-5级/北风4-5级
2011-03-02,shanghai,晴/晴,8℃/2℃,北风3-4级/北风3-4级
2011-03-03,shanghai,阴/多云,9℃/2℃,北风3-4级/北风3-4级
2011-03-04,shanghai,晴/晴,9℃/3℃,东北风3-4级/东南风3-4级
2011-03-05,shanghai,多云/小雨,13℃/7℃,东南风4-5级/南风3-4级
2011-03-06,shanghai,小雨/阴,10℃/4℃,北风3-4级/北风4-5级
2011-03-07,shanghai,晴/晴,10℃/2℃,北风3-4级/西北风3-4级
2011-03-08,shanghai,晴/多云,15℃/5℃,西南风3-4级/西南风3-4级
2011-03-09,shanghai,多云/多云,14℃/4℃,北风4-5级/北风3-4级
2011-03-10,shanghai,晴/晴,13℃/6℃,东南风3-4级/东南风3-4级
2011-03-11,shanghai,晴/多云,17℃/9℃,南风3-4级/东南风4-5级
2011-03-12,shanghai,阴/晴,17℃/10℃,南风4-5级/东南风3-4级
2011-03-13,shanghai,多云/阵雨,18℃/8℃,东南风4-5级/南风4-5级
2011-03-14,shanghai,小雨/阴,14℃/4℃,北风4-5级/北风4-5级
2011-03-15,shanghai,阴/多云,9℃/2℃,北风4-5级/西北风4-5级
2011-03-16,shanghai,多云/晴,12℃/4℃,西北风3-4级/西风3-4级
2011-03-17,shanghai,晴/晴,16℃/7℃,东南风3-4级/东南风4-5级
2011-03-18,shanghai,阴/阴,15℃/9℃,东南风4-5级/南风3-4级
2011-03-19,shanghai,阵雨/阵雨,16℃/12℃,南风4-5级/南风4-5级
2011-03-20,shanghai,阵雨/小雨,16℃/6℃,东北风4-5级/北风4-5级
2011-03-21,shanghai,中雨/小雨,8℃/5℃,北风4-5级/北风4-5级
2011-03-22,shanghai,小雨/多云,9℃/3℃,北风4-5级/北风3-4级
2011-03-23,shanghai,晴/多云,13℃/6℃,东风3-4级/南风3-4级
2011-03-24,shanghai,多云/多云,16℃/5℃,南风3-4级/北风4-5级
2011-03-25,shanghai,晴/晴,13℃/4℃,东北风3-4级/南风3-4级
2011-03-26,shanghai,晴/多云,15℃/7℃,西南风3-4级/南风3-4级
2011-03-27,shanghai,晴/晴,17℃/8℃,南风3-4级/西南风3-4级
2011-03-28,shanghai,晴/阴,19℃/9℃,西南风3-4级/西南风3-4级
2011-03-29,shanghai,多云/晴,14℃/6℃,东北风4-5级/东北风3-4级
2011-03-30,shanghai,晴/晴,16℃/7℃,南风3-4级/东南风3-4级
2011-03-31,shanghai,晴/晴,19℃/10℃,东南风3-4级/东南风4-5级
2011-04-01,shanghai,多云/多云,21℃/11℃,东南风4-5级/东南风4-5级
2011-04-02,shanghai,阴/小雨,16℃/7℃,东北风4-5级/东北风4-5级
2011-04-03,shanghai,小雨/阴,9℃/5℃,东北风4-5级/北风4-5级
2011-04-04,shanghai,晴/晴,14℃/6℃,东北风3-4级/东南风3-4级
2011-04-05,shanghai,晴/晴,16℃/9℃,东北风3-4级/东风3-4级
2011-04-06,shanghai,多云/小雨,18℃/12℃,东南风4-5级/东南风4-5级
2011-04-07,shanghai,小雨/阴,15℃/10℃,北风3-4级/北风3-4级
2011-04-08,shanghai,多云/多云,18℃/8℃,东风3-4级/东风3-4级
2011-04-09,shanghai,多云/多云,21℃/12℃,东南风3-4级/东南风3-4级
2011-04-10,shanghai,多云/阴,23℃/12℃,东南风3-4级/东北风4-5级
2011-04-11,shanghai,多云/多云,17℃/9℃,东北风3-4级/东北风3-4级
2011-04-12,shanghai,晴/阴,19℃/12℃,东南风3-4级/南风3-4级
2011-04-13,shanghai,多云/多云,21℃/15℃,南风4-5级/南风3-4级
2011-04-14,shanghai,多云/多云,25℃/17℃,南风3-4级/南风3-4级
2011-04-15,shanghai,雷阵雨/雷阵雨,26℃/13℃,南风3-4级/东北风4-5级
2011-04-16,shanghai,多云/多云,18℃/10℃,东北风4-5级/东北风4-5级
2011-04-17,shanghai,多云/阴,21℃/13℃,南风3-4级/南风3-4级
2011-04-18,shanghai,晴/晴,19℃/9℃,西北风4-5级/北风4-5级
2011-04-19,shanghai,晴/晴,20℃/8℃,北风4-5级/南风3-4级
2011-04-20,shanghai,晴/晴,22℃/13℃,南风4-5级/南风4-5级
2011-04-21,shanghai,阴/阵雨,22℃/13℃,南风4-5级/南风4-5级
2011-04-22,shanghai,阴/多云,18℃/10℃,北风4-5级/北风4-5级
2011-04-23,shanghai,晴/多云,22℃/12℃,南风3-4级/南风4-5级
2011-04-24,shanghai,多云/晴,23℃/14℃,西北风3-4级/南风4-5级
2011-04-25,shanghai,晴/晴,27℃/15℃,南风4-5级/南风4-5级
2011-04-26,shanghai,多云/雷阵雨,31℃/15℃,西南风4-5级/北风4-5级
2011-04-27,shanghai,阴/多云,22℃/11℃,北风4-5级/北风4-5级
2011-04-28,shanghai,晴/多云,22℃/13℃,东南风3-4级/东南风4-5级
2011-04-29,shanghai,晴/多云,27℃/19℃,南风5-6级/南风5-6级
2011-04-30,shanghai,雷阵雨/阵雨,29℃/17℃,南风4-5级/西风4-5级
2011-05-01,shanghai,多云/多云,26℃/13℃,东北风3-4级/东风3-4级
2011-05-02,shanghai,多云/雷阵雨,23℃/12℃,东南风3-4级/东南风3-4级
2011-05-03,shanghai,阵雨/阴,18℃/13℃,东北风3-4级/东北风3-4级
2011-05-04,shanghai,多云/多云,21℃/14℃,东南风3-4级/东南风3-4级
2011-05-05,shanghai,多云/多云,23℃/16℃,东南风4-5级/东南风3-4级
2011-05-06,shanghai,多云/多云,28℃/18℃,南风3-4级/南风3-4级
2011-05-07,shanghai,多云/多云,31℃/20℃,南风3-4级/南风3-4级
2011-05-08,shanghai,多云/晴,31℃/22℃,东南风4-5级/东南风4-5级
2011-05-09,shanghai,多云/多云,34℃/24℃,南风4-5级/南风4-5级
2011-05-10,shanghai,雷阵雨/雷阵雨,34℃/19℃,南风3-4级/南风3-4级
2011-05-11,shanghai,雷阵雨/多云,24℃/16℃,北风3-4级/西北风4-5级
2011-05-12,shanghai,阴/多云,25℃/16℃,西北风3-4级/西北风3-4级
2011-05-13,shanghai,晴/晴,28℃/18℃,西风3-4级/西风3-4级
2011-05-14,shanghai,多云/多云,28℃/18℃,西风3-4级/南风3-4级
2011-05-15,shanghai,多云/多云,29℃/19℃,南风3-4级/南风3-4级
2011-05-16,shanghai,多云/多云,28℃/19℃,南风3-4级/南风3-4级
2011-05-17,shanghai,晴/晴,29℃/20℃,南风3-4级/南风4-5级
2011-05-18,shanghai,多云/晴,32℃/20℃,南风5-6级/南风4-5级
2011-05-19,shanghai,晴/晴,33℃/21℃,南风4-5级/南风4-5级
2011-05-20,shanghai,晴/多云,34℃/22℃,东南风3-4级/东南风3-4级
2011-05-21,shanghai,阵雨/阵雨,28℃/17℃,东北风3-4级/北风4-5级
2011-05-22,shanghai,阵雨/中雨,20℃/16℃,东北风4-5级/东北风4-5级
2011-05-23,shanghai,多云/阴,20℃/15℃,东北风4-5级/东北风4-5级
2011-05-24,shanghai,多云/多云,22℃/16℃,东风3-4级/东风3-4级
2011-05-25,shanghai,多云/阴,23℃/17℃,北风3-4级/北风3-4级
2011-05-26,shanghai,多云/多云,25℃/18℃,西北风3-4级/北风3-4级
2011-05-27,shanghai,多云/多云,26℃/18℃,北风3-4级/东北风3-4级
2011-05-28,shanghai,阴/多云,23℃/17℃,东北风3-4级/东北风4-5级
2011-05-29,shanghai,晴/晴,26℃/18℃,北风4-5级/北风3-4级
2011-05-30,shanghai,多云/多云,30℃/21℃,南风4-5级/南风4-5级
2011-05-31,shanghai,阴/阵雨,31℃/20℃,南风3-4级/西北风3-4级
2011-06-01,shanghai,多云/多云,29℃/19℃,南风3-4级/南风3-4级
2011-06-02,shanghai,多云/多云,30℃/22℃,东南风3-4级/东南风3-4级
2011-06-03,shanghai,多云/阴,30℃/21℃,南风3-4级/南风4-5级
2011-06-04,shanghai,中到大雨/中雨,24℃/20℃,南风4-5级/东南风3-4级
2011-06-05,shanghai,小雨/小雨,23℃/20℃,东北风4-5级/东风3-4级
2011-06-06,shanghai,中雨/阵雨,23℃/19℃,东风3-4级/东风3-4级
2011-06-07,shanghai,小雨/多云,26℃/19℃,东风3-4级/东南风3-4级
2011-06-08,shanghai,多云/晴,33℃/23℃,南风3-4级/南风4-5级
2011-06-09,shanghai,多云/雷阵雨,35℃/23℃,南风3-4级/西南风3-4级
2011-06-10,shanghai,大雨/大雨,27℃/22℃,西南风3-4级/西南风3-4级
2011-06-11,shanghai,中雨/阵雨,26℃/21℃,东北风3-4级/东北风3-4级
2011-06-12,shanghai,阵雨/阴,27℃/20℃,东北风3-4级/南风3-4级
2011-06-13,shanghai,阵雨/阵雨,27℃/21℃,东风3-4级/东南风3-4级
2011-06-14,shanghai,雷阵雨/大雨,24℃/19℃,东南风3-4级/东南风4-5级
2011-06-15,shanghai,大到暴雨/阵雨,21℃/19℃,东风4-5级/东北风4-5级
2011-06-16,shanghai,小雨/阵雨,25℃/20℃,北风3-4级/北风3-4级
2011-06-17,shanghai,阵雨/雷阵雨,25℃/21℃,东南风3-4级/东风3-4级
2011-06-18,shanghai,大到暴雨/大到暴雨,23℃/20℃,东北风3-4级/东风4-5级
2011-06-19,shanghai,小到中雨/阴,23℃/20℃,东风4-5级/东北风3-4级
2011-06-20,shanghai,多云/阵雨,26℃/22℃,东风3-4级/东南风3-4级
2011-06-21,shanghai,雷阵雨/阵雨,26℃/23℃,东南风4-5级/东南风4-5级
2011-06-22,shanghai,雷阵雨/阴,30℃/25℃,东南风4-5级/南风4-5级
2011-06-23,shanghai,多云/多云,35℃/24℃,南风4-5级/南风4-5级
2011-06-24,shanghai,雷阵雨/雷阵雨,34℃/25℃,南风3-4级/南风3-4级
2011-06-25,shanghai,大雨/大到暴雨,28℃/22℃,北风5-6级/北风6-7级
2011-06-26,shanghai,阵雨/多云,29℃/22℃,西风6-7级/西南风4-5级
2011-06-27,shanghai,多云/多云,32℃/24℃,西南风4-5级/东南风3-4级
2011-06-28,shanghai,雷阵雨/阵雨,31℃/25℃,东南风4-5级/南风4-5级
2011-06-29,shanghai,雷阵雨/阵雨,31℃/27℃,南风4-5级/南风4-5级
2011-06-30,shanghai,雷阵雨/雷阵雨,32℃/25℃,南风4-5级/南风4-5级
2011-07-01,shanghai,阵雨/多云,31℃/27℃,南风3-4级/南风3-4级
2011-07-02,shanghai,雷阵雨/多云,35℃/28℃,西南风3-4级/西南风3-4级
2011-07-03,shanghai,多云/多云,37℃/29℃,西南风3-4级/西南风3-4级
2011-07-04,shanghai,雷阵雨/雷阵雨,35℃/27℃,西南风3-4级/东北风3-4级
2011-07-05,shanghai,雷阵雨/雷阵雨,33℃/27℃,东南风3-4级/南风3-4级
2011-07-06,shanghai,多云/多云,36℃/29℃,西南风3-4级/西南风3-4级
2011-07-07,shanghai,多云/多云,37℃/27℃,西南风3-4级/西南风3-4级
2011-07-08,shanghai,雷阵雨/阵雨,33℃/26℃,南风3-4级/西北风3-4级
2011-07-09,shanghai,阵雨/阵雨,32℃/26℃,东风3-4级/东风3-4级
2011-07-10,shanghai,阴/阵雨,32℃/26℃,东南风4-5级/东南风4-5级
2011-07-11,shanghai,阴/阴,32℃/26℃,东南风4-5级/东南风4-5级
2011-07-12,shanghai,阴/阵雨,31℃/26℃,东南风4-5级/东南风4-5级
